mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres
51535,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,https://www.youtube-nocookie.com/embed/E7WytLM2KvY?enablejsapi=1&wmode=opaque&autoplay=1,Shingeki no Kyojin: The Final Season - Kanketsu-hen,進撃の巨人 The Final Season完結編,TV Special,Manga,2.0,Finished Airing,"Mar 4, 2023 to Nov 5, 2023",1 hr 12 min per ep,R - 17+ (violence & profanity),8.86,812093,16916,"Action, Drama, Suspense"
35247,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,https://www.youtube-nocookie.com/embed/7WdyIcDlK2o?enablejsapi=1&wmode=opaque&autoplay=1,Owarimonogatari 2nd Season,終物語,TV Special,Light novel,7.0,Finished Airing,"Aug 12, 2017 to Aug 13, 2017",22 min per ep,R - 17+ (violence & profanity),8.86,428623,8990,"Comedy, Mystery, Supernatural"
59571,https://myanimelist.net/anime/59571/Shingeki_no_Kyojin_Movie__Kanketsu-hen_-_The_Last_Attack,https://www.youtube-nocookie.com/embed/PuE1uRbpkTk?enablejsapi=1&wmode=opaque&autoplay=1,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,劇場版 進撃の巨人 完結編 THE LAST ATTACK,Movie,Manga,1.0,Finished Airing,"Nov 8, 2024",2 hr 24 min,R - 17+ (violence & profanity),8.84,66265,485,"Action, Drama, Suspense"
37987,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,https://www.youtube-nocookie.com/embed/NSIzsFOfd8M?enablejsapi=1&wmode=opaque&autoplay=1,Violet Evergarden Movie,劇場版 ヴァイオレット・エヴァーガーデン,Movie,Light novel,1.0,Finished Airing,"Sep 18, 2020",2 hr 20 min,PG-13 - Teens 13 or older,8.84,699643,9510,"Award Winning, Drama"
40682,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,https://www.youtube-nocookie.com/embed/CasaH4vvYEw?enablejsapi=1&wmode=opaque&autoplay=1,Kingdom 3rd Season,キングダム 第3シリーズ,TV,Manga,26.0,Finished Airing,"Apr 6, 2020 to Oct 17, 2021",25 min per ep,R - 17+ (violence & profanity),8.83,125796,2552,Action
32281,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,https://www.youtube-nocookie.com/embed/3KR8_igDs1Y?enablejsapi=1&wmode=opaque&autoplay=1,Kimi no Na wa.,君の名は。,Movie,Original,1.0,Finished Airing,"Aug 26, 2016",1 hr 46 min,PG-13 - Teens 13 or older,8.83,2954380,94407,"Award Winning, Drama"
49387,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,https://www.youtube-nocookie.com/embed/jBetoIlnDIM?enablejsapi=1&wmode=opaque&autoplay=1,Vinland Saga Season 2,ヴィンランド・サガ SEASON2,TV,Manga,24.0,Finished Airing,"Jan 10, 2023 to Jun 20, 2023",25 min per ep,R - 17+ (violence & profanity),8.82,794675,19167,"Action, Adventure, Drama"
36838,https://myanimelist.net/anime/36838/Gintama_Shirogane_no_Tamashii-hen,https://www.youtube-nocookie.com/embed/vcb-D3FlaCg?enablejsapi=1&wmode=opaque&autoplay=1,Gintama. Shirogane no Tamashii-hen,銀魂. 銀ノ魂篇,TV,Manga,12.0,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",24 min per ep,PG-13 - Teens 13 or older,8.81,232854,1218,"Action, Comedy, Sci-Fi"
60489,https://myanimelist.net/anime/60489/Takopii_no_Genzai,https://www.youtube-nocookie.com/embed/SUhYB0W7gM0?enablejsapi=1&wmode=opaque&autoplay=1,Takopii no Genzai,タコピーの原罪,ONA,Manga,6.0,Finished Airing,"Jun 28, 2025 to Aug 2, 2025",23 min per ep,R - 17+ (violence & profanity),8.8,242223,5100,"Drama, Sci-Fi"
60098,https://myanimelist.net/anime/60098/Boku_no_Hero_Academia__Final_Season,https://www.youtube-nocookie.com/embed/wQgQij8Ry4g?enablejsapi=1&wmode=opaque&autoplay=1,Boku no Hero Academia: Final Season,僕のヒーローアカデミア FINAL SEASON,TV,Manga,,Currently Airing,"Oct 4, 2025 to ?",23 min,PG-13 - Teens 13 or older,8.8,177262,855,Action
37510,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,https://www.youtube-nocookie.com/embed/Pr43Sayk37s?enablejsapi=1&wmode=opaque&autoplay=1,Mob Psycho 100 II,モブサイコ100 II,TV,Web manga,13.0,Finished Airing,"Jan 7, 2019 to Apr 1, 2019",24 min per ep,PG-13 - Teens 13 or older,8.78,1679015,33540,"Action, Comedy, Supernatural"
31758,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,https://www.youtube-nocookie.com/embed/4nTLr6Uf9Ug?enablejsapi=1&wmode=opaque&autoplay=1,Kizumonogatari III: Reiketsu-hen,傷物語〈Ⅲ冷血篇〉,Movie,Light novel,1.0,Finished Airing,"Jan 6, 2017",1 hr 22 min,R - 17+ (violence & profanity),8.78,500972,8012,"Action, Mystery, Supernatural"
40028,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,https://www.youtube-nocookie.com/embed/SlNpRThS9t8?enablejsapi=1&wmode=opaque&autoplay=1,Shingeki no Kyojin: The Final Season,進撃の巨人 The Final Season,TV,Manga,16.0,Finished Airing,"Dec 7, 2020 to Mar 29, 2021",23 min per ep,R - 17+ (violence & profanity),8.78,2214112,53535,"Action, Drama, Suspense"
